β,α,Mejor Fitness,Arquitectura,Accuracy Test,Parámetros
0.0,1.0,0.9925925925925926,"(16, 127, 52)",1.0,9198
0.1,0.9,0.9910488113708915,"(16, 10)",0.9777777777777777,427
0.3,0.7,0.9879612489274894,"(16, 10)",0.9777777777777777,427
0.5,0.5,0.9848736864840872,"(16, 10)",0.9777777777777777,427
terrib
