Algoritmo,Hipervolumen,Punto_Ref_f1 (Riesgo),Punto_Ref_f2 (RetNeg)
NSGA-II,7.042731804360069e-08,0.000473,0.0
ABC,7.968126323721132e-08,0.000473,0.0
